Date,Day,Month,CO,NO2,O3,PM25,Season,Season_Code,AQHI_PreviousDay,AQHI,AQHI_NextDay
2023-12-07,7,12,0.175,20.208333333333332,14.208333333333334,12.375,Winter,0,2.714628275244566,3.0300417864278497,2.7752842842285506
2023-12-08,8,12,0.175,18.208333333333332,15.833333333333334,8.875,Winter,0,3.0300417864278497,2.7752842842285506,2.8788079178616437
2023-12-09,9,12,0.175,20.0,8.833333333333334,15.541666666666666,Winter,0,2.7752842842285506,2.8788079178616437,2.5343537142174672
2023-12-10,10,12,0.175,13.833333333333332,16.875,10.5,Winter,0,2.8788079178616437,2.5343537142174672,1.7259205425501418
2023-12-11,11,12,0.175,6.958333333333334,18.833333333333332,3.4583333333333335,Winter,0,2.5343537142174672,1.7259205425501418,2.3189823206111244
2023-12-12,12,12,0.175,9.708333333333334,25.458333333333332,3.791666666666667,Winter,0,1.7259205425501418,2.3189823206111244,2.017597146170232
2023-12-13,13,12,0.175,2.9166666666666665,32.5,1.7083333333333333,Winter,0,2.3189823206111244,2.017597146170232,2.3329405838960837
2023-12-14,14,12,0.175,9.166666666666666,27.041666666666668,3.2916666666666665,Winter,0,2.017597146170232,2.3329405838960837,2.567478899657176
2023-12-15,15,12,0.175,8.333333333333334,24.125,13.041666666666666,Winter,0,2.3329405838960837,2.567478899657176,2.2287334342082117
2023-12-16,16,12,0.175,8.833333333333334,23.625,5.5,Winter,0,2.567478899657176,2.2287334342082117,2.2198917026841545
2023-12-17,17,12,0.175,6.375,28.041666666666668,4.791666666666667,Winter,0,2.2287334342082117,2.2198917026841545,2.0274486537906395
2023-12-18,18,12,0.175,8.916666666666668,22.875,1.875,Winter,0,2.2198917026841545,2.0274486537906395,1.588395744731713
2023-12-19,19,12,0.175,4.333333333333333,22.666666666666664,1.3333333333333335,Winter,0,2.0274486537906395,1.588395744731713,2.081925400880211
2023-12-20,20,12,0.175,8.066666666666666,21.333333333333336,5.104166666666667,Winter,0,1.588395744731713,2.081925400880211,2.21430988286557
2023-12-21,21,12,0.175,5.916666666666667,30.604166666666668,2.625,Winter,0,2.081925400880211,2.21430988286557,2.591425824079217
2023-12-22,22,12,0.175,16.416666666666668,18.791666666666668,4.875,Winter,0,2.21430988286557,2.591425824079217,2.388003040244082
2023-12-23,23,12,0.175,17.375,7.75,11.083333333333334,Winter,0,2.591425824079217,2.388003040244082,2.4098151505009406
2023-12-24,24,12,0.175,15.958333333333334,5.375,16.708333333333332,Winter,0,2.388003040244082,2.4098151505009406,2.7475927695319564
2023-12-25,25,12,0.175,17.0,2.8333333333333335,24.75,Winter,0,2.4098151505009406,2.7475927695319564,2.423947262721356
2023-12-26,26,12,0.175,15.666666666666666,6.416666666666667,16.375,Winter,0,2.7475927695319564,2.423947262721356,1.876620930023102
2023-12-27,27,12,0.175,10.916666666666666,8.708333333333332,10.791666666666666,Winter,0,2.423947262721356,1.876620930023102,1.871848603314041
2023-12-28,28,12,0.175,8.958333333333334,15.166666666666668,7.083333333333333,Winter,0,1.876620930023102,1.871848603314041,2.0916887226507317
